ko_number	name	description	metabolism
K15587	nikD, cntD	nickel transport system ATP-binding protein [EC:7.2.2.11]	ABC transporters
K10824	nikE, cntF	nickel transport system ATP-binding protein [EC:7.2.2.11]	ABC transporters
K13889	gsiB	glutathione transport system substrate-binding protein	ABC transporters
K13890	gsiC	glutathione transport system permease protein	ABC transporters
K13891	gsiD	glutathione transport system permease protein	ABC transporters
K13892	gsiA	glutathione transport system ATP-binding protein	ABC transporters
K13893	yejA	microcin C transport system substrate-binding protein	ABC transporters
K13894	yejB	microcin C transport system permease protein	ABC transporters
K13895	yejE	microcin C transport system permease protein	ABC transporters
K13896	yejF	microcin C transport system ATP-binding protein	ABC transporters
K23181	fecB	ferric citrate transport system substrate-binding protein	ABC transporters
K23182	fecD	ferric citrate transport system permease protein	ABC transporters
K23183	fecC	ferric citrate transport system permease protein	ABC transporters
K23184	fecE	ferric citrate transport system ATP-binding protein [EC:7.2.2.18]	ABC transporters
K23185	fepB	ferric enterobactin transport system substrate-binding protein	ABC transporters
K25287	desE	iron-desferrioxamine transport system substrate-binding protein	ABC transporters
K25286	fagD, cchF, irp1A, piaA	iron-siderophore transport system substrate-binding protein	ABC transporters
K23186	fepD, fagA, cchC, desH	iron-siderophore transport system permease protein	ABC transporters
K23187	fepG, fagB, cchD, desG	iron-siderophore transport system permease protein	ABC transporters
K23188	fepC, fagC, cchE, desF	iron-siderophore transport system ATP-binding protein [EC:7.2.2.17 7.2.2.-]	ABC transporters
K23227	fhuD	ferric hydroxamate transport system substrate-binding protein	ABC transporters
K23228	fhuB	ferric hydroxamate transport system permease protein	ABC transporters
K10829	fhuC	ferric hydroxamate transport system ATP-binding protein [EC:7.2.2.16]	ABC transporters
K06858	btuF	vitamin B12 transport system substrate-binding protein	ABC transporters
K06073	btuC	vitamin B12 transport system permease protein	ABC transporters
K06074	btuD	vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]	ABC transporters
K11601	mntC	manganese transport system substrate-binding protein	ABC transporters
K11602	mntB	manganese transport system permease protein	ABC transporters
K11603	mntA	manganese transport system ATP-binding protein [EC:7.2.2.5]	ABC transporters
K19975	mntC	manganese transport system substrate-binding protein	ABC transporters
K19976	mntB	manganese transport system permease protein	ABC transporters
K19973	mntA	manganese transport system ATP-binding protein [EC:7.2.2.5]	ABC transporters
K09815	znuA	zinc transport system substrate-binding protein	ABC transporters
K09816	znuB	zinc transport system permease protein	ABC transporters
K09817	znuC	zinc transport system ATP-binding protein [EC:7.2.2.20]	ABC transporters
K11704	mtsA	iron/zinc/manganese/copper transport system substrate-binding protein	ABC transporters
K11705	mtsC	iron/zinc/manganese/copper transport system permease protein	ABC transporters
K11706	mtsB	iron/zinc/manganese/copper transport system ATP-binding protein	ABC transporters
K11604	sitA	manganese/iron transport system substrate-binding protein	ABC transporters
K11605	sitC	manganese/iron transport system permease protein	ABC transporters
K11606	sitD	manganese/iron transport system permease protein	ABC transporters
K11607	sitB	manganese/iron transport system ATP-binding protein	ABC transporters
K19971	psaA, scaA, sloC	manganese/zinc transport system substrate-binding protein	ABC transporters
K19972	psaC, scaB, sloB	manganese/zinc transport system permease protein	ABC transporters
K10830	psaB, scaC, sloA	manganese/zinc transport system ATP-binding protein [EC:7.2.2.5]	ABC transporters
K11707	troA, mntA, znuA	manganese/zinc/iron transport system substrate-binding protein	ABC transporters
K11708	troC, mntC, znuB	manganese/zinc/iron transport system permease protein	ABC transporters
K11709	troD, mntD, znuB	manganese/zinc/iron transport system permease protein	ABC transporters
K11710	troB, mntB, znuC	manganese/zinc/iron transport system ATP- binding protein [EC:7.2.2.5]	ABC transporters
K02009	cbiN	cobalt/nickel transport protein	ABC transporters
K02007	cbiM	cobalt/nickel transport system permease protein	ABC transporters
K02008	cbiQ	cobalt/nickel transport system permease protein	ABC transporters
K02006	cbiO	cobalt/nickel transport system ATP-binding protein	ABC transporters
K10094	cbiK	nickel transport protein	ABC transporters
K16915	cbiL	nickel transport protein	ABC transporters
K03523	bioY	biotin transport system substrate-specific component	ABC transporters
K16783	bioN	biotin transport system permease protein	ABC transporters
K16784	bioM	biotin transport system ATP-binding protein [EC:7.6.2.-]	ABC transporters
K16785	ecfT	energy-coupling factor transport system permease protein	ABC transporters
K16786	ecfA1	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	ABC transporters
K16787	ecfA2	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	ABC transporters
K10555	lsrB	AI-2 transport system substrate-binding protein	ABC transporters
K10556	lsrC	AI-2 transport system permease protein	ABC transporters
K10557	lsrD	AI-2 transport system permease protein	ABC transporters
K10558	lsrA, ego	AI-2 transport system ATP-binding protein	ABC transporters
K23510	rfuA	riboflavin transport system substrate-binding protein	ABC transporters
K23511	rfuC	riboflavin transport system permease protein	ABC transporters
K23512	rfuD	riboflavin transport system permease protein	ABC transporters
K23513	rfuB	riboflavin transport system ATP-binding protein	ABC transporters
K11051	cylB	multidrug/hemolysin transport system permease protein	ABC transporters
K11050	cylA	multidrug/hemolysin transport system ATP-binding protein	ABC transporters
K10107	kpsE	capsular polysaccharide transport system permease protein	ABC transporters
K09688	kpsM	capsular polysaccharide transport system permease protein	ABC transporters
K09689	kpsT	capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]	ABC transporters
K22921	vexB	Vi polysaccharide transport system permease protein	ABC transporters
K22922	vexD	Vi polysaccharide transport system permease protein	ABC transporters
K22923	vexC	Vi polysaccharide transport system ATP-binding protein [EC:7.6.2.12]	ABC transporters
K09690	wzm, rfbA	lipopolysaccharide transport system permease protein	ABC transporters
K09691	wzt, rbfB	lipopolysaccharide transport system ATP-binding protein	ABC transporters
K09692	tagG	teichoic acid transport system permease protein	ABC transporters
K09693	tagH	teichoic acid transport system ATP-binding protein [EC:7.5.2.4]	ABC transporters
K09694	nodJ	lipooligosaccharide transport system permease protein	ABC transporters
K09695	nodI	lipooligosaccharide transport system ATP-binding protein	ABC transporters
K09696	natB	sodium transport system permease protein	ABC transporters
K09697	natA	sodium transport system ATP-binding protein [EC:7.2.2.4]	ABC transporters
K09813	hrtB	hemin transport system permease protein	ABC transporters
K09814	hrtA	hemin transport system ATP-binding protein [EC:7.6.2.-]	ABC transporters
K18233	oleC5	oleandomycin transport system permease protein	ABC transporters
K18232	oleC4	oleandomycin transport system ATP-binding protein	ABC transporters
K19310	bcrB	bacitracin transport system permease protein	ABC transporters
K19309	bcrA	bacitracin transport system ATP-binding protein	ABC transporters
K11632	bceB, vraE	bacitracin transport system permease protein	ABC transporters
K11631	bceA, vraD	bacitracin transport system ATP-binding protein	ABC transporters
K20460	nukE, mcdE, sboE	lantibiotic transport system permease protein	ABC transporters
K20461	nukG, mcdG, sboG	lantibiotic transport system permease protein	ABC transporters
K20459	nukF, mcdF, sboF	lantibiotic transport system ATP-binding protein	ABC transporters
K20491	nisE, spaE, cprB, epiE	lantibiotic transport system permease protein	ABC transporters
K20492	nisG, spaG, cprC	lantibiotic transport system permease protein	ABC transporters
K20494	epiG	lantibiotic transport system permease protein	ABC transporters
K20490	nisF, spaF, cprA, epiF	lantibiotic transport system ATP-binding protein	ABC transporters
K09808	lolC_E	lipoprotein-releasing system permease protein	ABC transporters
K09810	lolD	lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]	ABC transporters
K02196	ccmD	heme exporter protein D	ABC transporters
K02195	ccmC	heme exporter protein C	ABC transporters
K02194	ccmB	heme exporter protein B	ABC transporters
K02193	ccmA	heme exporter protein A [EC:7.6.2.5]	ABC transporters
K07091	lptF	lipopolysaccharide export system permease protein	ABC transporters
K11720	lptG	lipopolysaccharide export system permease protein	ABC transporters
K06861	lptB	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	ABC transporters
K16905	K16905	fluoroquinolone transport system permease protein	ABC transporters
K16906	K16906	fluoroquinolone transport system permease protein	ABC transporters
K16907	K16907	fluoroquinolone transport system ATP-binding protein [EC:7.6.2.-]	ABC transporters
K16916	yydJ	putative peptide transport system permease protein	ABC transporters
K16917	yydI	putative peptide transport system ATP-binding protein	ABC transporters
K19084	braE, bceB	bacitracin transport system permease protein	ABC transporters
K19083	braD, bceA	bacitracin transport system ATP-binding protein	ABC transporters
K19080	vraG	cationic antimicrobial peptide transport system permease protein	ABC transporters
K19079	vraF	cationic antimicrobial peptide transport system ATP-binding protein	ABC transporters
K19341	nosY	Cu-processing system permease protein	ABC transporters
K19340	nosF	Cu-processing system ATP-binding protein	ABC transporters
K09811	ftsX	cell division transport system permease protein	ABC transporters
K09812	ftsE	cell division transport system ATP-binding protein	ABC transporters
K16918	ytrF	acetoin utilization transport system permease protein	ABC transporters
K16919	ytrC_D	acetoin utilization transport system permease protein	ABC transporters
K16921	ytrB	acetoin utilization transport system ATP-binding protein	ABC transporters
K16920	ytrE	acetoin utilization transport system ATP-binding protein	ABC transporters
K05641	ABCA1	ATP-binding cassette, subfamily A (ABC1), member 1	ABC transporters
K05642	ABCA2	ATP-binding cassette, subfamily A (ABC1), member 2	ABC transporters
K05643	ABCA3	ATP-binding cassette, subfamily A (ABC1), member 3	ABC transporters
K05644	ABCA4	ATP-binding cassette, subfamily A (ABC1), member 4	ABC transporters
K05645	ABCA7	ATP-binding cassette, subfamily A (ABC1), member 7	ABC transporters
K05646	ABCA12	ATP-binding cassette, subfamily A (ABC1), member 12	ABC transporters
K05647	ABCA13	ATP binding cassette, subfamily A (ABC1), member 13	ABC transporters
K05648	ABCA5	ATP-binding cassette, subfamily A (ABC1), member 5	ABC transporters
K05649	ABCA6	ATP-binding cassette, subfamily A (ABC1), member 6	ABC transporters
K05650	ABCA8	ATP-binding cassette, subfamily A (ABC1), member 8	ABC transporters
K05651	ABCA9	ATP-binding cassette, subfamily A (ABC1), member 9	ABC transporters
K05652	ABCA10	ATP-binding cassette, subfamily A (ABC1), member 10	ABC transporters
K05653	ABCB2, TAP1	ATP-binding cassette, subfamily B (MDR/TAP), member 2 [EC:7.4.2.14]	ABC transporters
K05654	ABCB3, TAP2	ATP-binding cassette, subfamily B (MDR/TAP), member 3 [EC:7.4.2.14]	ABC transporters
K05655	ABCB8	ATP-binding cassette, subfamily B (MDR/TAP), member 8	ABC transporters
K05656	ABCB9, TAPL	ATP-binding cassette, subfamily B (MDR/TAP), member 9	ABC transporters
K05657	ABCB10	ATP-binding cassette, subfamily B (MDR/TAP), member 10	ABC transporters
K05658	ABCB1, CD243	ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]	ABC transporters
K05659	ABCB4	ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:7.6.2.2]	ABC transporters
K05660	ABCB5	ATP-binding cassette, subfamily B (MDR/TAP), member 5	ABC transporters
K05661	ABCB6	ATP-binding cassette, subfamily B (MDR/TAP), member 6	ABC transporters
K05662	ABCB7, ATM	ATP-binding cassette, subfamily B (MDR/TAP), member 7	ABC transporters
K05664	ABCB11	ATP-binding cassette, subfamily B (MDR/TAP), member 11	ABC transporters
K14698	irtA, ybtP	ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]	ABC transporters
K14699	irtB, ybtQ	ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]	ABC transporters
K11085	msbA	ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]	ABC transporters
K18889	mdlA, smdA	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18890	mdlB, smdB	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18894	K18894	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18895	iroC	ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter	ABC transporters
K11004	hlyB, cyaB	ATP-binding cassette, subfamily B, bacterial HlyB/CyaB	ABC transporters
K13409	cvaB, mchF, raxB	ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB	ABC transporters
K20386	cylB	ATP-binding cassette, subfamily B, bacterial CylB	ABC transporters
K18104	abcA, bmrA	ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	ABC transporters
K18891	patA, rscA, lmrC, satA	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18892	patB, rscB, lmrC, satB	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K24821	atm1, pexA	ATP-binding cassette, subfamily B, heavy metal transporter	ABC transporters
K18216	steA, tetA46	ATP-binding cassette, subfamily B, tetracycline resistant protein	ABC transporters
K18217	steB, tetB46	ATP-binding cassette, subfamily B, tetracycline resistant protein	ABC transporters
K18893	vcaM	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18887	efrA, efrE	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K18888	efrB, efrF	ATP-binding cassette, subfamily B, multidrug efflux pump	ABC transporters
K05665	ABCC1	ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]	ABC transporters
K05666	ABCC2	ATP-binding cassette, subfamily C (CFTR/MRP), member 2	ABC transporters
K05667	ABCC3	ATP-binding cassette, subfamily C (CFTR/MRP), member 3	ABC transporters
K05673	ABCC4	ATP-binding cassette, subfamily C (CFTR/MRP), member 4	ABC transporters
K05668	ABCC5	ATP-binding cassette, subfamily C (CFTR/MRP), member 5	ABC transporters
K05669	ABCC6	ATP-binding cassette, subfamily C (CFTR/MRP), member 6	ABC transporters
K05674	ABCC10	ATP-binding cassette, subfamily C (CFTR/MRP), member 10	ABC transporters
K05671	ABCC11	ATP-binding cassette, subfamily C (CFTR/MRP), member 11	ABC transporters
K05672	ABCC12	ATP-binding cassette, subfamily C (CFTR/MRP), member 12	ABC transporters
K05670	ABCC13	ATP-binding cassette, subfamily C (CFTR/MRP), member 13	ABC transporters
K05031	CFTR, ABCC7	cystic fibrosis transmembrane conductance regulator [EC:5.6.1.6]	ABC transporters
K05032	ABCC8, SUR1	ATP-binding cassette subfamily C (CFTR/MRP) member 8	ABC transporters
K05033	ABCC9, SUR2	ATP-binding cassette subfamily C (CFTR/MRP) member 9	ABC transporters
K12541	lapB	ATP-binding cassette, subfamily C, bacterial LapB	ABC transporters
K12536	hasD, prtD, aprD, rsaD, prsD, eexD	ATP-binding cassette, subfamily C, type I secretion system permease/ATPase	ABC transporters
K12292	comA	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]	ABC transporters
K20344	blpA, lagD	ATP-binding cassette, subfamily C, bacteriocin exporter	ABC transporters
K16012	cydC	ATP-binding cassette, subfamily C, bacterial CydC	ABC transporters
K16013	cydD	ATP-binding cassette, subfamily C, bacterial CydD	ABC transporters
K16014	cydCD	ATP-binding cassette, subfamily C, bacterial CydCD	ABC transporters
K05675	ABCD1, ALD	ATP-binding cassette, subfamily D (ALD), member 1 [EC:7.6.2.4]	ABC transporters
K25819	ABCD1, PXA1	ATP-binding cassette, subfamily D (ALD), peroxisomal ABC transporter [EC:7.6.2.4]	ABC transporters
K05676	ABCD2, ALDL1	ATP-binding cassette, subfamily D (ALD), member 2 [EC:7.6.2.4]	ABC transporters
K05677	ABCD3, PMP70	ATP-binding cassette, subfamily D (ALD), member 3 [EC:7.6.2.4]	ABC transporters
K05678	ABCD4, PXMP1L	ATP-binding cassette, subfamily D (ALD), member 4 [EC:7.6.2.8]	ABC transporters
K15628	PXA	ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein [EC:7.6.2.4]	ABC transporters
K05679	ABCG1	ATP-binding cassette, subfamily G (WHITE), member 1	ABC transporters
K05680	ABCG4	ATP-binding cassette, subfamily G (WHITE), member 4	ABC transporters
K05681	ABCG2, CD338	ATP-binding cassette, subfamily G (WHITE), member 2	ABC transporters
K08711	PDR, CDR1	ATP-binding cassette, subfamily G (WHITE), member 2, PDR	ABC transporters
K08712	SNQ2	ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2	ABC transporters
K05682	ABCG3, Mxr2, Abcp2	ATP-binding cassette, subfamily G (WHITE), member 3	ABC transporters
K05683	ABCG5	ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)	ABC transporters
K05684	ABCG8	ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)	ABC transporters
K05685	macB	macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]	ABC transporters
K18230	tylC, oleB, carA, srmB	macrolide transport system ATP-binding/permease protein	ABC transporters
K18231	msr, vmlR	macrolide transport system ATP-binding/permease protein	ABC transporters
K19349	vga	pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein	ABC transporters
K19350	lsa	lincosamide and streptogramin A transport system ATP-binding/permease protein	ABC transporters
K06159	yojI	multidrug/microcin transport system ATP-binding/permease protein	ABC transporters
K06160	pvdE	putative pyoverdin transport system ATP-binding/permease protein	ABC transporters
K06161	syrD	putative syringomycin transport system ATP-binding/permease protein	ABC transporters
K02471	bacA, bclA	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	ABC transporters
ko_number	name	description	metabolism
K00368	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrogen metabolism
K00366	nirA	ferredoxin-nitrite reductase [EC:1.7.7.1]	Nitrogen metabolism
K02591	nifK	nitrogenase molybdenum-iron protein beta chain	Nitrogen metabolism
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	Glyoxylate and dicarboxylate metabolism
K02588	nifH	nitrogenase iron protein NifH	Nitrogen metabolism
K00172	porC	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	Nitrogen metabolism
K01601	rbcL	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Glyoxylate and dicarboxylate metabolism
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]	CAZymes auxiliary activities
K00421	lccA	laccase [EC:1.10.3.2]	CAZymes auxiliary activities
K00428	E1.11.1.5	cytochrome c peroxidase [EC:1.11.1.5]	CAZymes auxiliary activities
K00434	E1.11.1.11	L-ascorbate peroxidase [EC:1.11.1.11]	CAZymes auxiliary activities
K00516	E1.14.99.55	lytic starch monooxygenase [EC:1.14.99.55]	CAZymes auxiliary activities
K00688	PYG, glgP	glycogen phosphorylase [EC:2.4.1.1]	CAZymes glycosyl transferase
K00689	E2.4.1.5	dextransucrase [EC:2.4.1.5]	CAZymes glycoside hydrolase
K00690	E2.4.1.7	sucrose phosphorylase [EC:2.4.1.7]	CAZymes glycoside hydrolase
K00691	mapA	maltose phosphorylase [EC:2.4.1.8]	CAZymes glycoside hydrolase
K00692	sacB	levansucrase [EC:2.4.1.10]	CAZymes glycoside hydrolase
K00693	GYS	glycogen synthase [EC:2.4.1.11]	CAZymes glycosyl transferase
K00694	bcsA	cellulose synthase (UDP-forming) [EC:2.4.1.12]	CAZymes glycosyl transferase
K00695	SUS	sucrose synthase [EC:2.4.1.13]	CAZymes glycosyl transferase
K00696	E2.4.1.14	sucrose-phosphate synthase [EC:2.4.1.14]	CAZymes glycosyl transferase
K00698	CHS1	chitin synthase [EC:2.4.1.16]	CAZymes glycosyl transferase
K00699	UGT	glucuronosyltransferase [EC:2.4.1.17]	CAZymes glycosyl transferase
K00700	GBE1, glgB	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	CAZymes glycoside hydrolase
K00701	cgt	cyclomaltodextrin glucanotransferase [EC:2.4.1.19]	CAZymes glycoside hydrolase
K00702	E2.4.1.20	cellobiose phosphorylase [EC:2.4.1.20]	CAZymes glycoside hydrolase
K00703	glgA	starch synthase [EC:2.4.1.21]	CAZymes glycosyl transferase
K00704	LALBA	alpha-lactalbumin [EC:2.4.1.22]	CAZymes glycosyl transferase
K00705	malQ	4-alpha-glucanotransferase [EC:2.4.1.25]	CAZymes glycoside hydrolase
K00706	E2.4.1.34	1,3-beta-glucan synthase [EC:2.4.1.34]	CAZymes glycosyl transferase
K00710	GALNT	polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]	CAZymes glycosyl transferase
K00713	waaD	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K00716	FUT3	galactoside 3(4)-fucosyltransferase 3 [EC:2.4.1.65]	CAZymes glycosyl transferase
K00717	FUT8	glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	CAZymes glycosyl transferase
K00718	FUT1_2	galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]	CAZymes glycosyl transferase
K00720	UGCG	ceramide glucosyltransferase [EC:2.4.1.80]	CAZymes glycosyl transferase
K00721	DPM1	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	CAZymes glycosyl transferase
K00722	GBGT1	globoside alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.88]	CAZymes glycosyl transferase
K00725	B4GALNT1, GALGT	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]	CAZymes glycosyl transferase
K00726	MGAT1	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]	CAZymes glycosyl transferase
K00727	GCNT1	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]	CAZymes glycosyl transferase
K00728	POMT, pmt	dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	CAZymes glycosyl transferase
K00729	ALG5	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	CAZymes glycosyl transferase
K00731	C1GALT1	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]	CAZymes glycosyl transferase
K00733	B4GALT7	xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]	CAZymes glycosyl transferase
K00735	B3GAT1	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]	CAZymes glycosyl transferase
K00736	MGAT2	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]	CAZymes glycosyl transferase
K00737	MGAT3	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]	CAZymes glycosyl transferase
K00738	MGAT4A_B	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]	CAZymes glycosyl transferase
K00741	B3GNT2	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.149]	CAZymes glycosyl transferase
K00742	GCNT2	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.150]	CAZymes glycosyl transferase
K00743	GGTA1	N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]	CAZymes glycosyl transferase
K00744	MGAT5	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]	CAZymes glycosyl transferase
K00748	lpxB	lipid-A-disaccharide synthase [EC:2.4.1.182]	CAZymes glycosyl transferase
K00749	E2.4.1.183	alpha-1,3-glucan synthase [EC:2.4.1.183]	CAZymes glycoside hydrolase
K00749	E2.4.1.183	alpha-1,3-glucan synthase [EC:2.4.1.183]	CAZymes glycosyl transferase
K00750	GYG1, GYG2	glycogenin [EC:2.4.1.186]	CAZymes glycosyl transferase
K00752	hasA	hyaluronan synthase [EC:2.4.1.212]	CAZymes glycosyl transferase
K00753	E2.4.1.214	glycoprotein 3-alpha-L-fucosyltransferase [EC:2.4.1.214]	CAZymes glycosyl transferase
K00754	bshA	L-malate glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K00771	XYLT	protein xylosyltransferase [EC:2.4.2.26]	CAZymes glycosyl transferase
K00786	GALT29A	beta-1,6-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K01046	lip, TGL2	triacylglycerol lipase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K01051	E3.1.1.11	pectinesterase [EC:3.1.1.11]	CAZymes carbohydrate esterase
K01066	aes	acetyl esterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K01176	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]	CAZymes glycoside hydrolase
K01177	E3.2.1.2	beta-amylase [EC:3.2.1.2]	CAZymes glycoside hydrolase
K01178	SGA1	glucoamylase [EC:3.2.1.3]	CAZymes glycoside hydrolase
K01179	E3.2.1.4	endoglucanase [EC:3.2.1.4]	CAZymes glycoside hydrolase
K01180	E3.2.1.6	endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	CAZymes glycoside hydrolase
K01181	E3.2.1.8, xynA	endo-1,4-beta-xylanase [EC:3.2.1.8]	CAZymes carbohydrate esterase
K01181	E3.2.1.8, xynA	endo-1,4-beta-xylanase [EC:3.2.1.8]	CAZymes glycoside hydrolase
K01182	IMA, malL	oligo-1,6-glucosidase [EC:3.2.1.10]	CAZymes glycoside hydrolase
K01183	E3.2.1.14	chitinase [EC:3.2.1.14]	CAZymes glycoside hydrolase
K01184	E3.2.1.15	polygalacturonase [EC:3.2.1.15]	CAZymes carbohydrate esterase
K01184	E3.2.1.15	polygalacturonase [EC:3.2.1.15]	CAZymes glycoside hydrolase
K01185	E3.2.1.17	lysozyme [EC:3.2.1.17]	CAZymes glycoside hydrolase
K01186	NEU1	sialidase-1 [EC:3.2.1.18]	CAZymes glycoside hydrolase
K01187	malZ	alpha-glucosidase [EC:3.2.1.20]	CAZymes glycoside hydrolase
K01188	E3.2.1.21	beta-glucosidase [EC:3.2.1.21]	CAZymes glycoside hydrolase
K01189	GLA	alpha-galactosidase [EC:3.2.1.22]	CAZymes glycoside hydrolase
K01190	lacZ	beta-galactosidase [EC:3.2.1.23]	CAZymes glycoside hydrolase
K01191	MAN2C1	alpha-mannosidase [EC:3.2.1.24]	CAZymes glycoside hydrolase
K01192	E3.2.1.25, MANBA, manB	beta-mannosidase [EC:3.2.1.25]	CAZymes glycoside hydrolase
K01193	INV, sacA	beta-fructofuranosidase [EC:3.2.1.26]	CAZymes glycoside hydrolase
K01194	TREH, treA, treF	alpha,alpha-trehalase [EC:3.2.1.28]	CAZymes glycoside hydrolase
K01195	uidA, GUSB	beta-glucuronidase [EC:3.2.1.31]	CAZymes glycoside hydrolase
K01197	hya	hyaluronoglucosaminidase [EC:3.2.1.35]	CAZymes glycoside hydrolase
K01198	xynB	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	CAZymes glycoside hydrolase
K01199	EGLC	glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]	CAZymes glycoside hydrolase
K01200	pulA	pullulanase [EC:3.2.1.41]	CAZymes glycoside hydrolase
K01201	GBA, srfJ	glucosylceramidase [EC:3.2.1.45]	CAZymes glycoside hydrolase
K01202	GALC	galactosylceramidase [EC:3.2.1.46]	CAZymes glycoside hydrolase
K01204	NAGA	alpha-N-acetylgalactosaminidase [EC:3.2.1.49]	CAZymes glycoside hydrolase
K01205	NAGLU	alpha-N-acetylglucosaminidase [EC:3.2.1.50]	CAZymes glycoside hydrolase
K01206	FUCA	alpha-L-fucosidase [EC:3.2.1.51]	CAZymes glycoside hydrolase
K01207	nagZ	beta-N-acetylhexosaminidase [EC:3.2.1.52]	CAZymes glycoside hydrolase
K01209	abfA	alpha-L-arabinofuranosidase [EC:3.2.1.55]	CAZymes carbohydrate esterase
K01209	abfA	alpha-L-arabinofuranosidase [EC:3.2.1.55]	CAZymes glycoside hydrolase
K01210	E3.2.1.58	glucan 1,3-beta-glucosidase [EC:3.2.1.58]	CAZymes glycoside hydrolase
K01212	sacC, levB	levanase [EC:3.2.1.65]	CAZymes glycoside hydrolase
